 * Running on http://142.1.97.144:15003/ (Press CTRL+C to quit)
99.244.124.122 - - [16/Apr/2016 20:11:40] "GET / HTTP/1.1" 302 -
99.244.124.122 - - [16/Apr/2016 20:11:40] "GET /login HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:40] "GET /font-awesome/css/font-awesome.min.css HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:40] "GET /css/custom.css HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:40] "GET /css/form-elements.css HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:40] "GET /css/red.css HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:40] "GET /bootstrap/css/bootstrap.min.css HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:40] "GET /css/style.css HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:40] "GET /js/jquery-1.11.1.min.js HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:41] "GET /css/bootstrap-tagsinput.css HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:41] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:41] "GET /js/jquery.backstretch.min.js HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:41] "GET /js/retina-1.1.0.min.js HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:41] "GET /js/scripts-login.js HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:41] "GET /js/scripts-signup.js HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:41] "GET /js/signup.js HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:41] "GET /js/login.js HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:41] "GET /font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:41] "GET /img/backgrounds/1.jpg HTTP/1.1" 200 -
99.244.124.122 - - [16/Apr/2016 20:11:41] "GET /favicon.ico HTTP/1.1" 404 -
173.252.90.120 - - [16/Apr/2016 20:11:50] "GET / HTTP/1.1" 302 -
173.252.90.106 - - [16/Apr/2016 20:11:50] "GET /login HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET / HTTP/1.1" 302 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /login HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /bootstrap/css/bootstrap.min.css HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /css/custom.css HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /font-awesome/css/font-awesome.min.css HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /css/form-elements.css HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /css/red.css HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /css/style.css HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /css/bootstrap-tagsinput.css HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /js/jquery-1.11.1.min.js HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /js/jquery.backstretch.min.js HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /js/retina-1.1.0.min.js HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /js/scripts-login.js HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /js/scripts-signup.js HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /js/signup.js HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /js/login.js HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 -
108.162.160.108 - - [16/Apr/2016 20:11:57] "GET /img/backgrounds/1.jpg HTTP/1.1" 200 -
